length,M,U,magnetization,energy
13,1,1.7,5.85924,-313.247
14,1,1.7,5.86053,-337.666
15,1,1.7,5.87388,-362.084
16,1,1.7,5.87193,-386.503
1,1,1.8,0.00105532,-18.1273
2,1,1.8,3.65442,-40.9306
3,1,1.8,5.25206,-63.6732
4,1,1.8,6.02322,-86.2424
5,1,1.8,6.39417,-108.764
6,1,1.8,6.56509,-131.278
7,1,1.8,6.64022,-153.796
8,1,1.8,6.67066,-176.319
9,1,1.8,6.68777,-198.844
10,1,1.8,6.69252,-221.371
11,1,1.8,6.70351,-243.899
12,1,1.8,6.69423,-266.427
13,1,1.8,6.71033,-288.956
14,1,1.8,6.68964,-311.484
15,1,1.8,6.70788,-334.013
16,1,1.8,6.6956,-356.541
1,3,1.8,2.39118,-17.5783
2,3,1.8,3.53284,-40.7308
3,3,1.8,4.37691,-63.4642
4,3,1.8,5.05312,-86.0908
5,3,1.8,5.5528,-108.671
6,3,1.8,5.92682,-131.227
7,3,1.8,6.17935,-153.77
8,3,1.8,6.35568,-176.305
9,3,1.8,6.4798,-198.838
10,3,1.8,6.55309,-221.368
11,3,1.8,6.60276,-243.897
12,3,1.8,6.63626,-266.426
13,3,1.8,6.66085,-288.955
14,3,1.8,6.68021,-311.484
15,3,1.8,6.67537,-334.012
16,3,1.8,6.68524,-356.541
1,3,2.2,2.573,-10.6277
2,3,2.2,4.88206,-26.7962
3,3,2.2,6.47736,-42.3858
4,3,2.2,8.25388,-57.8423
5,3,2.2,9.65807,-73.198
6,3,2.2,11.1185,-88.4857
7,3,2.2,12.336,-103.724
8,3,2.2,13.5916,-118.927
9,3,2.2,14.6846,-134.103
10,3,2.2,15.8124,-149.258
11,3,2.2,16.8284,-164.397
12,3,2.2,17.8763,-179.525
13,3,2.2,18.8507,-194.642
14,3,2.2,19.8095,-209.743
15,3,2.2,20.8051,-224.858
16,3,2.2,21.7768,-239.958
1,1,2.2,3.4443,-11.9771
2,1,2.2,6.97903,-28.2348
3,1,2.2,9.42668,-43.8317
4,1,2.2,11.4349,-59.2114
5,1,2.2,13.1863,-74.4909
6,1,2.2,14.7629,-89.7121
7,1,2.2,16.2167,-104.898
8,1,2.2,17.5781,-120.059
9,1,2.2,18.874,-135.204
10,1,2.2,20.117,-150.337
11,1,2.2,21.3224,-165.461
12,1,2.2,22.4976,-180.58
13,1,2.2,23.6514,-195.693
14,1,2.2,24.7863,-210.803
15,1,2.2,25.9111,-225.911
16,1,2.2,27.0252,-241.017
1,1,1.1,0.000406387,-31.357
2,1,1.1,0.0010808,-66.6302
3,1,1.1,0.0056323,-102.144
4,1,1.1,2.67126,-137.976
5,1,1.1,3.19908,-173.763
6,1,1.1,3.37205,-209.53
7,1,1.1,3.43149,-245.292
8,1,1.1,3.45157,-281.051
9,1,1.1,3.4592,-316.81
10,1,1.1,3.4609,-352.569
11,1,1.1,3.462,-388.327
12,1,1.1,3.4627,-424.086
13,1,1.1,3.46161,-459.844
14,1,1.1,3.46167,-495.603
15,1,1.1,3.46361,-531.362
16,1,1.1,3.46146,-567.12
