sd -3.12547 (0.071465,0.000000) (-0.101072,0.000000) (0.071465,0.000000) (0.202222,0.000000) (0.263738,0.000000) (-0.083765,0.000000) (-0.109242,0.000000) (-0.083765,0.000000) (-0.109242,0.000000) (0.202222,0.000000) (0.263738,0.000000) (0.234937,0.000000) (-0.332248,0.000000) (0.234937,0.000000) (0.234935,0.000000) (-0.332251,0.000000) (0.234935,0.000000) (0.263723,0.000000) (0.202215,0.000000) (-0.109240,0.000000) (-0.083759,0.000000) (-0.109240,0.000000) (-0.083759,0.000000) (0.263723,0.000000) (0.202215,0.000000) (0.071462,0.000000) (-0.101058,0.000000) (0.071462,0.000000)
su -2.28584 (-0.134186,0.000000) (0.189773,0.000000) (-0.134186,0.000000) (-0.308479,0.000000) (-0.281210,0.000000) (0.127780,0.000000) (0.116480,0.000000) (0.127780,0.000000) (0.116480,0.000000) (-0.308479,0.000000) (-0.281210,0.000000) (-0.070208,0.000000) (0.099282,0.000000) (-0.070208,0.000000) (0.070189,0.000000) (-0.099268,0.000000) (0.070189,0.000000) (0.281205,0.000000) (0.308476,0.000000) (-0.116480,0.000000) (-0.127771,0.000000) (-0.116480,0.000000) (-0.127771,0.000000) (0.281205,0.000000) (0.308476,0.000000) (0.134196,0.000000) (-0.189775,0.000000) (0.134196,0.000000)
sd -2.28584 (-0.134196,0.000000) (0.189775,0.000000) (-0.134196,0.000000) (-0.308476,0.000000) (-0.281205,0.000000) (0.127771,0.000000) (0.116480,0.000000) (0.127771,0.000000) (0.116480,0.000000) (-0.308476,0.000000) (-0.281205,0.000000) (-0.070189,0.000000) (0.099268,0.000000) (-0.070189,0.000000) (0.070208,0.000000) (-0.099282,0.000000) (0.070208,0.000000) (0.281210,0.000000) (0.308479,0.000000) (-0.116480,0.000000) (-0.127780,0.000000) (-0.116480,0.000000) (-0.127780,0.000000) (0.281210,0.000000) (0.308479,0.000000) (0.134186,0.000000) (-0.189773,0.000000) (0.134186,0.000000)
su -2.20706 (0.310297,0.000000) (0.000000,0.000000) (-0.310297,0.000000) (0.204403,0.000000) (-0.041013,0.000000) (0.204401,0.000000) (-0.041015,0.000000) (-0.204401,0.000000) (0.041015,0.000000) (-0.204403,0.000000) (0.041013,0.000000) (-0.258436,0.000000) (-0.000000,0.000000) (0.258436,0.000000) (-0.258440,0.000000) (0.000000,0.000000) (0.258440,0.000000) (-0.041023,0.000000) (0.204396,0.000000) (-0.041021,0.000000) (0.204398,0.000000) (0.041021,0.000000) (-0.204398,0.000000) (0.041023,0.000000) (-0.204396,0.000000) (0.310304,0.000000) (0.000000,0.000000) (-0.310304,0.000000)
sd -2.20706 (-0.310304,0.000000) (0.000000,0.000000) (0.310304,0.000000) (-0.204396,0.000000) (0.041023,0.000000) (-0.204398,0.000000) (0.041021,0.000000) (0.204398,0.000000) (-0.041021,0.000000) (0.204396,0.000000) (-0.041023,0.000000) (0.258440,0.000000) (-0.000000,0.000000) (-0.258440,0.000000) (0.258436,0.000000) (0.000000,0.000000) (-0.258436,0.000000) (0.041013,0.000000) (-0.204403,0.000000) (0.041015,0.000000) (-0.204401,0.000000) (-0.041015,0.000000) (0.204401,0.000000) (-0.041013,0.000000) (0.204403,0.000000) (-0.310297,0.000000) (0.000000,0.000000) (0.310297,0.000000)
sd -1.64644 (0.180744,0.000000) (0.255617,0.000000) (0.180744,0.000000) (0.058749,0.000000) (-0.115544,0.000000) (0.141834,0.000000) (-0.278953,0.000000) (0.141834,0.000000) (-0.278953,0.000000) (0.058749,0.000000) (-0.115544,0.000000) (-0.186976,0.000000) (-0.264436,0.000000) (-0.186976,0.000000) (0.186991,0.000000) (0.264433,0.000000) (0.186991,0.000000) (0.115546,0.000000) (-0.058756,0.000000) (0.278948,0.000000) (-0.141846,0.000000) (0.278948,0.000000) (-0.141846,0.000000) (0.115546,0.000000) (-0.058756,0.000000) (-0.180752,0.000000) (-0.255615,0.000000) (-0.180752,0.000000)
su -1.64644 (-0.180752,0.000000) (-0.255615,0.000000) (-0.180752,0.000000) (-0.058756,0.000000) (0.115546,0.000000) (-0.141846,0.000000) (0.278948,0.000000) (-0.141846,0.000000) (0.278948,0.000000) (-0.058756,0.000000) (0.115546,0.000000) (0.186991,0.000000) (0.264433,0.000000) (0.186991,0.000000) (-0.186976,0.000000) (-0.264436,0.000000) (-0.186976,0.000000) (-0.115544,0.000000) (0.058749,0.000000) (-0.278953,0.000000) (0.141834,0.000000) (-0.278953,0.000000) (0.141834,0.000000) (-0.115544,0.000000) (0.058749,0.000000) (0.180744,0.000000) (0.255617,0.000000) (0.180744,0.000000)
su -1.35001 (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (-0.000000,0.000000) (0.000000,0.000000) (-0.353558,0.000000) (-0.353549,0.000000) (0.353554,0.000000) (0.353552,0.000000) (-0.353554,0.000000) (-0.353552,0.000000) (0.353558,0.000000) (0.353549,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000)
sd -1.35001 (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (0.353549,0.000000) (0.353558,0.000000) (-0.353552,0.000000) (-0.353554,0.000000) (0.353552,0.000000) (0.353554,0.000000) (-0.353549,0.000000) (-0.353558,0.000000) (0.000000,0.000000) (0.000000,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000)
su -1.34999 (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (-0.353557,0.000000) (-0.353549,0.000000) (0.353555,0.000000) (0.353552,0.000000) (-0.353555,0.000000) (-0.353552,0.000000) (0.353557,0.000000) (0.353549,0.000000) (0.000000,0.000000) (0.000000,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000)
sd -1.34999 (0.000003,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (0.000000,0.000000) (-0.000000,0.000000) (-0.353549,0.000000) (-0.353557,0.000000) (0.353552,0.000000) (0.353555,0.000000) (-0.353552,0.000000) (-0.353555,0.000000) (0.353549,0.000000) (0.353557,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000)
