value0, value1, value2, value3, value4, value5, value6, value7
-4.76839, -3.68431, -2.10222, -0.47417, 4.79417, 6.42222, 8.00431, 9.08839
-4.81121, -3.72482, -2.14096, -0.515073, 4.83507, 6.46096, 8.04482, 9.13121
-4.85292, -3.76431, -2.17878, -0.554971, 4.87497, 6.49878, 8.08431, 9.17292
-4.89351, -3.80277, -2.21565, -0.593846, 4.91385, 6.53565, 8.12277, 9.21351
-4.93296, -3.8402, -2.25157, -0.631682, 4.95168, 6.57157, 8.1602, 9.25296
-4.97127, -3.87657, -2.28651, -0.668464, 4.98846, 6.60651, 8.19657, 9.29127
-5.00843, -3.91187, -2.32045, -0.704175, 5.02418, 6.64045, 8.23187, 9.32843
-5.04443, -3.94609, -2.35339, -0.738802, 5.0588, 6.67339, 8.26609, 9.36443
-5.07925, -3.97922, -2.38529, -0.772331, 5.09233, 6.70529, 8.29922, 9.39925
-5.11288, -4.01124, -2.41616, -0.804748, 5.12475, 6.73616, 8.33124, 9.43288
-5.14533, -4.04214, -2.44598, -0.836041, 5.15604, 6.76598, 8.36214, 9.46533
-5.17657, -4.07192, -2.47472, -0.866199, 5.1862, 6.79472, 8.39192, 9.49657
-5.20661, -4.10056, -2.50239, -0.895209, 5.21521, 6.82239, 8.42056, 9.52661
-5.23542, -4.12806, -2.52896, -0.92306, 5.24306, 6.84896, 8.44806, 9.55542
-5.26301, -4.15439, -2.55444, -0.949744, 5.26974, 6.87444, 8.47439, 9.58301
-5.28937, -4.17957, -2.57879, -0.975249, 5.29525, 6.89879, 8.49956, 9.60937
-5.31448, -4.20356, -2.60203, -0.999568, 5.31957, 6.92202, 8.52356, 9.63448
-5.33835, -4.22638, -2.62412, -1.02269, 5.34269, 6.94412, 8.54638, 9.65835
-5.36097, -4.248, -2.64508, -1.04461, 5.36461, 6.96508, 8.568, 9.68097
-5.38232, -4.26843, -2.66488, -1.06531, 5.38531, 6.98488, 8.58843, 9.70232
-5.40241, -4.28765, -2.68352, -1.0848, 5.4048, 7.00352, 8.60765, 9.72241
-5.42123, -4.30567, -2.701, -1.10306, 5.42306, 7.021, 8.62567, 9.74123
-5.43877, -4.32246, -2.71729, -1.12009, 5.44009, 7.03729, 8.64246, 9.75877
-5.45504, -4.33804, -2.73241, -1.13588, 5.45588, 7.05241, 8.65804, 9.77504
-5.47001, -4.35239, -2.74634, -1.15043, 5.47043, 7.06634, 8.67238, 9.79001
-5.4837, -4.3655, -2.75908, -1.16373, 5.48373, 7.07908, 8.6855, 9.8037
-5.4961, -4.37738, -2.77062, -1.17577, 5.49577, 7.09062, 8.69738, 9.8161
-5.5072, -4.38802, -2.78096, -1.18656, 5.50656, 7.10096, 8.70802, 9.8272
-5.517, -4.39742, -2.79009, -1.19609, 5.51609, 7.11009, 8.71742, 9.837
-5.5255, -4.40556, -2.79801, -1.20435, 5.52435, 7.11801, 8.72556, 9.8455
-5.53269, -4.41247, -2.80471, -1.21135, 5.53135, 7.12471, 8.73246, 9.85269
-5.53858, -4.41811, -2.8102, -1.21708, 5.53708, 7.1302, 8.73811, 9.85858
-5.54317, -4.42251, -2.81448, -1.22153, 5.54153, 7.13448, 8.74251, 9.86317
-5.54644, -4.42565, -2.81753, -1.22472, 5.54472, 7.13753, 8.74565, 9.86644
-5.54841, -4.42753, -2.81936, -1.22663, 5.54663, 7.13936, 8.74753, 9.86841
