value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.33587, -6.80635, -6.00073, -5.37235, -4.55672, -4.05119, -3.73425, -2.80122, -2.7, -2.5485, -1.27225, -0.172498, -1.56815e-15, 0.889077, 2.47871, 2.7, 2.93783, 3.71014, 4.34734, 4.8906, 5.77851, 5.94771, 6.66146, 7.01056
-7.34431, -6.79359, -6.00846, -5.36019, -4.56666, -4.03906, -3.748, -2.81056, -2.7, -2.53708, -1.26732, -0.185619, -9.39604e-16, 0.900096, 2.46993, 2.7, 2.94866, 3.7089, 4.35155, 4.88228, 5.77352, 5.9526, 6.66075, 7.01255
-7.35271, -6.78068, -6.01623, -5.34779, -4.57648, -4.02742, -3.76153, -2.82024, -2.7, -2.52558, -1.26224, -0.198861, 2.66001e-16, 0.911101, 2.46141, 2.7, 2.95942, 3.70762, 4.35593, 4.87369, 5.76834, 5.95763, 6.66001, 7.0146
-7.36105, -6.76761, -6.02401, -5.33517, -4.5862, -4.01644, -3.77461, -2.83026, -2.7, -2.51404, -1.25704, -0.212193, -2.16075e-15, 0.922055, 2.45316, 2.7, 2.9701, 3.70631, 4.36049, 4.86483, 5.76296, 5.96277, 6.65923, 7.01672
-7.36935, -6.75441, -6.0318, -5.32235, -4.59579, -4.0064, -3.78696, -2.8406, -2.7, -2.50249, -1.25171, -0.225584, 1.48627e-15, 0.932923, 2.44519, 2.7, 2.9807, 3.70497, 4.3652, 4.85571, 5.75739, 5.96803, 6.65843, 7.0189
-7.37758, -6.74107, -6.03958, -5.30933, -4.60528, -3.99766, -3.79818, -2.85126, -2.7, -2.49096, -1.24627, -0.239007, -2.52916e-15, 0.943671, 2.43751, 2.7, 2.99122, 3.7036, 4.37009, 4.84634, 5.75162, 5.97339, 6.65759, 7.02113
-7.38575, -6.72759, -6.04734, -5.29612, -4.61464, -3.99073, -3.80775, -2.86223, -2.7, -2.47948, -1.24072, -0.252432, -8.96684e-16, 0.954268, 2.43016, 2.7, 3.00165, 3.7022, 4.37513, 4.83674, 5.74567, 5.97884, 6.65673, 7.02341
-7.39384, -6.714, -6.05509, -5.28273, -4.62389, -3.98619, -3.81508, -2.87349, -2.7, -2.46808, -1.23508, -0.265835, -8.40953e-16, 0.964681, 2.42313, 2.7, 3.01199, 3.70078, 4.38033, 4.82691, 5.73953, 5.98438, 6.65583, 7.02574
-7.40186, -6.70029, -6.0628, -5.26917, -4.63303, -3.98464, -3.81954, -2.88504, -2.7, -2.45679, -1.22934, -0.27919, 1.19277e-16, 0.974881, 2.41645, 2.7, 3.02223, 3.69933, 4.38568, 4.81687, 5.73322, 5.99, 6.65491, 7.02812
-7.4098, -6.68646, -6.07047, -5.25545, -4.64204, -3.98648, -3.82073, -2.89688, -2.7, -2.44562, -1.22353, -0.292473, -5.5916e-16, 0.98484, 2.41013, 2.7, 3.03238, 3.69787, 4.39118, 4.80662, 5.72673, 5.99569, 6.65395, 7.03054
-7.41766, -6.67252, -6.0781, -5.24157, -4.65094, -3.99175, -3.81858, -2.90898, -2.7, -2.43461, -1.21765, -0.30566, 1.58968e-16, 0.99453, 2.40418, 2.7, 3.04243, 3.69639, 4.39684, 4.79617, 5.72007, 6.00144, 6.65297, 7.033
-7.42544, -6.65848, -6.08567, -5.22755, -4.65972, -4.0001, -3.81344, -2.92135, -2.7, -2.42378, -1.2117, -0.31873, -2.63472e-15, 1.00392, 2.39863, 2.7, 3.05238, 3.69489, 4.40264, 4.78554, 5.71324, 6.00724, 6.65196, 7.0355
-7.43313, -6.64433, -6.09319, -5.21338, -4.66838, -4.01099, -3.80582, -2.93397, -2.7, -2.41315, -1.2057, -0.33166, -1.79778e-15, 1.013, 2.39348, 2.7, 3.06223, 3.69338, 4.40859, 4.77472, 5.70625, 6.0131, 6.65092, 7.03803
-7.44072, -6.63008, -6.10065, -5.19907, -4.67692, -4.02386, -3.79629, -2.94683, -2.7, -2.40275, -1.19966, -0.34443, -4.97371e-16, 1.02173, 2.38876, 2.7, 3.07197, 3.69186, 4.41468, 4.76374, 5.69909, 6.01899, 6.64985, 7.04059
-7.44823, -6.61573, -6.10804, -5.18463, -4.68534, -4.03822, -3.78531, -2.95994, -2.7, -2.39259, -1.19357, -0.35702, -7.71063e-16, 1.0301, 2.38446, 2.7, 3.08159, 3.69032, 4.4209, 4.7526, 5.69178, 6.02492, 6.64876, 7.04318
-7.45564, -6.60129, -6.11536, -5.17006, -4.69364, -4.0537, -3.77325, -2.97328, -2.7, -2.38271, -1.18746, -0.369409, 1.75045e-15, 1.03808, 2.38062, 2.7, 3.09111, 3.68878, 4.42726, 4.74131, 5.68432, 6.03088, 6.64764, 7.04579
-7.46295, -6.58676, -6.12261, -5.15537, -4.70181, -4.07005, -3.76036, -2.98683, -2.7, -2.37311, -1.18131, -0.38158, -7.45933e-16, 1.04565, 2.37723, 2.7, 3.10051, 3.68724, 4.43376, 4.72987, 5.67671, 6.03686, 6.64649, 7.04842
-7.47017, -6.57214, -6.12978, -5.14056, -4.70987, -4.08705, -3.74683, -3.00061, -2.7, -2.36383, -1.17515, -0.393512, -1.89453e-15, 1.0528, 2.37432, 2.7, 3.1098, 3.68569, 4.44039, 4.71831, 5.66895, 6.04286, 6.64532, 7.05107
-7.47729, -6.55743, -6.13687, -5.12563, -4.7178, -4.10457, -3.73279, -3.01459, -2.7, -2.35488, -1.16898, -0.40519, -1.09378e-15, 1.05951, 2.37188, 2.7, 3.11896, 3.68414, 4.44714, 4.70661, 5.66105, 6.04887, 6.64412, 7.05373
-7.48431, -6.54265, -6.14388, -5.11058, -4.72562, -4.12249, -3.71836, -3.02877, -2.7, -2.34628, -1.16281, -0.416594, -1.33174e-15, 1.06576, 2.36994, 2.7, 3.12801, 3.68259, 4.45403, 4.6948, 5.65302, 6.05489, 6.64289, 7.0564
-7.49122, -6.52778, -6.1508, -5.09543, -4.73331, -4.14075, -3.70359, -3.04314, -2.7, -2.33805, -1.15663, -0.42771, -2.65207e-15, 1.07155, 2.36849, 2.7, 3.13692, 3.68104, 4.46104, 4.68289, 5.64484, 6.06091, 6.64165, 7.05908
-7.49803, -6.51283, -6.15763, -5.08017, -4.74087, -4.15928, -3.68854, -3.05771, -2.7, -2.33022, -1.15047, -0.43852, -1.18977e-15, 1.07685, 2.36755, 2.7, 3.14571, 3.67949, 4.46816, 4.67087, 5.63654, 6.06692, 6.64037, 7.06177
-7.50474, -6.4978, -6.16437, -5.0648, -4.74832, -4.17803, -3.67325, -3.07245, -2.7, -2.32279, -1.14432, -0.44901, 8.44744e-16, 1.08167, 2.36712, 2.7, 3.15438, 3.67795, 4.47541, 4.65876, 5.62812, 6.07293, 6.63908, 7.06446
-7.51135, -6.48271, -6.17102, -5.04934, -4.75564, -4.19696, -3.65775, -3.08736, -2.7, -2.31578, -1.13819, -0.459165, -4.5109e-16, 1.086, 2.3672, 2.7, 3.16291, 3.67641, 4.48278, 4.64657, 5.61957, 6.07892, 6.63776, 7.06715
-7.51784, -6.46754, -6.17757, -5.03377, -4.76284, -4.21604, -3.64208, -3.10245, -2.7, -2.30922, -1.13209, -0.468972, 3.55981e-16, 1.08983, 2.36779, 2.7, 3.17131, 3.67488, 4.49026, 4.6343, 5.61089, 6.0849, 6.63642, 7.06984
-7.52424, -6.45231, -6.18403, -5.01811, -4.76991, -4.23526, -3.62624, -3.1177, -2.7, -2.30312, -1.12601, -0.478417, 2.24862e-15, 1.09315, 2.36889, 2.7, 3.17957, 3.67336, 4.49785, 4.62197, 5.60211, 6.09085, 6.63506, 7.07252
-7.53052, -6.437, -6.19038, -5.00236, -4.77686, -4.25458, -3.61026, -3.1331, -2.7, -2.29749, -1.11998, -0.487488, 1.06633e-15, 1.09597, 2.3705, 2.7, 3.18769, 3.67185, 4.50556, 4.60958, 5.59321, 6.09678, 6.63367, 7.0752
-7.53669, -6.42164, -6.19664, -4.98651, -4.78368, -4.27399, -3.59415, -3.14865, -2.7, -2.29234, -1.11398, -0.496175, 1.0383e-15, 1.09829, 2.37261, 2.7, 3.19567, 3.67035, 4.51337, 4.59714, 5.5842, 6.10268, 6.63227, 7.07786
-7.54276, -6.40622, -6.2028, -4.97058, -4.79038, -4.29347, -3.57792, -3.16435, -2.7, -2.2877, -1.10803, -0.504467, 1.38991e-15, 1.10012, 2.37523, 2.7, 3.20351, 3.66886, 4.52129, 4.58465, 5.57508, 6.10855, 6.63085, 7.08052
-7.54872, -6.39074, -6.20885, -4.95455, -4.79695, -4.313, -3.56157, -3.18018, -2.7, -2.28358, -1.10213, -0.512355, -4.30524e-16, 1.10145, 2.37833, 2.7, 3.21121, 3.66739, 4.52931, 4.57214, 5.56586, 6.11438, 6.62941, 7.08315
-7.55456, -6.3752, -6.2148, -4.93845, -4.80339, -4.33259, -3.54512, -3.19616, -2.7, -2.27998, -1.09629, -0.519832, 8.53715e-16, 1.1023, 2.38191, 2.7, 3.21875, 3.66593, 4.53744, 4.55959, 5.55655, 6.12017, 6.62795, 7.08577
-7.5603, -6.35962, -6.22064, -4.92226, -4.80971, -4.3522, -3.52858, -3.21226, -2.7, -2.27691, -1.09051, -0.526891, -7.36434e-16, 1.10268, 2.38596, 2.7, 3.22615, 3.66449, 4.54566, 4.54704, 5.54713, 6.12592, 6.62648, 7.08837
-7.56592, -6.34399, -6.22637, -4.90599, -4.81591, -4.37184, -3.51195, -3.22848, -2.7, -2.2744, -1.08479, -0.533527, 3.92847e-15, 1.10259, 2.39046, 2.7, 3.2334, 3.66307, 4.53447, 4.55399, 5.53762, 6.13161, 6.62499, 7.09095
