value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.1018, -4.52179, -4.00069, -3.45183, -2.40599, -1.88091, -1.00455, -0.794065, -0.645188, -0.23985, -0.192157, 1.48502, 2.83498, 4.51216, 4.55985, 4.96519, 5.11407, 5.32455, 6.20091, 6.72599, 7.77183, 8.32069, 8.84179, 9.4218
-5.11288, -4.50538, -4.01124, -3.43642, -2.41616, -1.86631, -1.02788, -0.804746, -0.654348, -0.224345, -0.179381, 1.48751, 2.83249, 4.49938, 4.54435, 4.97435, 5.12475, 5.34788, 6.18631, 6.73616, 7.75642, 8.33124, 8.82538, 9.43288
-5.12383, -4.48887, -4.02166, -3.42091, -2.42622, -1.85161, -1.0513, -0.815303, -0.663874, -0.208745, -0.167054, 1.49011, 2.82989, 4.48705, 4.52875, 4.98387, 5.1353, 5.3713, 6.17161, 6.74622, 7.74091, 8.34166, 8.80887, 9.44383
-5.13465, -4.47223, -4.03196, -3.40529, -2.43615, -1.83684, -1.07481, -0.825734, -0.67376, -0.193049, -0.155186, 1.49282, 2.82718, 4.47519, 4.51305, 4.99376, 5.14573, 5.39481, 6.15684, 6.75615, 7.72529, 8.35196, 8.79223, 9.45465
-5.14533, -4.45549, -4.04214, -3.38958, -2.44597, -1.82198, -1.09841, -0.83604, -0.683999, -0.17726, -0.143787, 1.49564, 2.82437, 4.46379, 4.49726, 5.004, 5.15604, 5.41841, 6.14198, 6.76597, 7.70958, 8.36214, 8.77549, 9.46533
-5.15588, -4.43863, -4.05219, -3.37377, -2.45568, -1.80704, -1.12209, -0.846219, -0.694584, -0.161377, -0.132866, 1.49855, 2.82145, 4.45287, 4.48138, 5.01458, 5.16622, 5.44209, 6.12704, 6.77568, 7.69377, 8.37219, 8.75863, 9.47588
-5.16629, -4.42166, -4.06212, -3.35787, -2.46526, -1.79201, -1.14586, -0.856271, -0.705508, -0.145402, -0.122432, 1.50157, 2.81844, 4.44243, 4.4654, 5.02551, 5.17627, 5.46586, 6.11201, 6.78526, 7.67787, 8.38212, 8.74166, 9.48629
-5.17657, -4.40458, -4.07192, -3.34186, -2.47472, -1.77691, -1.1697, -0.866197, -0.716762, -0.129336, -0.112493, 1.50468, 2.81533, 4.43249, 4.44934, 5.03676, 5.1862, 5.48969, 6.09691, 6.79472, 7.66186, 8.39192, 8.72458, 9.49657
-5.18672, -4.38739, -4.08159, -3.32577, -2.48406, -1.76173, -1.19361, -0.875995, -0.728341, -0.11318, -0.103059, 1.50788, 2.81213, 4.42306, 4.43318, 5.04834, 5.196, 5.51361, 6.08173, 6.80406, 7.64576, 8.40159, 8.70739, 9.50672
-5.19673, -4.37009, -4.09114, -3.30957, -2.49329, -1.74647, -1.21758, -0.885665, -0.740236, -0.0969354, -0.0941355, 1.51116, 2.80884, 4.41413, 4.41694, 5.06024, 5.20567, 5.53758, 6.06647, 6.81329, 7.62957, 8.41114, 8.69009, 9.51673
