value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.25115, -6.67137, -6.14094, -5.59152, -4.54398, -4.01518, -3.15838, -2.95419, -2.79494, -2.39503, -2.34252, -0.00596243, 0.00596243, 2.34252, 2.39503, 2.79494, 2.95419, 3.15838, 4.01518, 4.54398, 5.59152, 6.14094, 6.67137, 7.25115
-7.26223, -6.65497, -6.15151, -5.57609, -4.55422, -4.00046, -3.18166, -2.96494, -2.8039, -2.37934, -2.32938, -0.00714102, 0.00714102, 2.32938, 2.37934, 2.8039, 2.96494, 3.18166, 4.00046, 4.55422, 5.57609, 6.15151, 6.65497, 7.26223
-7.27317, -6.63846, -6.16194, -5.56056, -4.56434, -3.98565, -3.20504, -2.97557, -2.81322, -2.36355, -2.31666, -0.00847971, 0.00847971, 2.31666, 2.36355, 2.81322, 2.97557, 3.20504, 3.98565, 4.56434, 5.56056, 6.16194, 6.63846, 7.27317
-7.28398, -6.62183, -6.17226, -5.54493, -4.57434, -3.97076, -3.22851, -2.98607, -2.82289, -2.34766, -2.30438, -0.00999057, 0.00999057, 2.30438, 2.34766, 2.82289, 2.98607, 3.22851, 3.97076, 4.57434, 5.54493, 6.17226, 6.62183, 7.28398
-7.29466, -6.60509, -6.18245, -5.52921, -4.58422, -3.95578, -3.25206, -2.99644, -2.83292, -2.33167, -2.29255, -0.0116857, 0.0116857, 2.29255, 2.33167, 2.83292, 2.99644, 3.25206, 3.95578, 4.58422, 5.52921, 6.18245, 6.60509, 7.29466
-7.30521, -6.58825, -6.19251, -5.51338, -4.59398, -3.94072, -3.27569, -3.00668, -2.84329, -2.31558, -2.28117, -0.0135773, 0.0135773, 2.28117, 2.31558, 2.84329, 3.00668, 3.27569, 3.94072, 4.59398, 5.51338, 6.19251, 6.58825, 7.30521
-7.31562, -6.57129, -6.20245, -5.49746, -4.60363, -3.92558, -3.29941, -3.0168, -2.85399, -2.2994, -2.27026, -0.0156773, 0.0156773, 2.27026, 2.2994, 2.85399, 3.0168, 3.29941, 3.92558, 4.60363, 5.49746, 6.20245, 6.57129, 7.31562
-7.3259, -6.55421, -6.21226, -5.48144, -4.61315, -3.91035, -3.3232, -3.02679, -2.86502, -2.28312, -2.25983, -0.0179976, 0.0179976, 2.25983, 2.28312, 2.86502, 3.02679, 3.3232, 3.91035, 4.61315, 5.48144, 6.21226, 6.55421, 7.3259
-7.33604, -6.53703, -6.22194, -5.46533, -4.62255, -3.89504, -3.34706, -3.03665, -2.87638, -2.26674, -2.24988, -0.0205501, 0.0205501, 2.24988, 2.26674, 2.87638, 3.03665, 3.34706, 3.89504, 4.62255, 5.46533, 6.22194, 6.53703, 7.33604
-7.34605, -6.51974, -6.2315, -5.44912, -4.63183, -3.87966, -3.37098, -3.04638, -2.88805, -2.25027, -2.24042, -0.0233461, 0.0233461, 2.24042, 2.25027, 2.88805, 3.04638, 3.37098, 3.87966, 4.63183, 5.44912, 6.2315, 6.51974, 7.34605
-7.35592, -6.50234, -6.24093, -5.43282, -4.64099, -3.86419, -3.39498, -3.05598, -2.90003, -2.23371, -2.23145, -0.0263969, 0.0263969, 2.23145, 2.23371, 2.90003, 3.05598, 3.39498, 3.86419, 4.64099, 5.43282, 6.24093, 6.50234, 7.35592
-7.36566, -6.48483, -6.25023, -5.41642, -4.65002, -3.84865, -3.41903, -3.06545, -2.91232, -2.223, -2.21705, -0.0297134, 0.0297134, 2.21705, 2.223, 2.91232, 3.06545, 3.41903, 3.84865, 4.65002, 5.41642, 6.25023, 6.48483, 7.36566
-7.37526, -6.46721, -6.25941, -5.39994, -4.65893, -3.83303, -3.44314, -3.07479, -2.92489, -2.21506, -2.2003, -0.033306, 0.033306, 2.2003, 2.21506, 2.92489, 3.07479, 3.44314, 3.83303, 4.65893, 5.39994, 6.25941, 6.46721, 7.37526
-7.38473, -6.44949, -6.26845, -5.38336, -4.66772, -3.81734, -3.46731, -3.08399, -2.93776, -2.20764, -2.18346, -0.0371846, 0.0371846, 2.18346, 2.20764, 2.93776, 3.08399, 3.46731, 3.81734, 4.66772, 5.38336, 6.26845, 6.44949, 7.38473
-7.39406, -6.43165, -6.27737, -5.36669, -4.67639, -3.80157, -3.49153, -3.09307, -2.95091, -2.20074, -2.16653, -0.0413588, 0.0413588, 2.16653, 2.20074, 2.95091, 3.09307, 3.49153, 3.80157, 4.67639, 5.36669, 6.27737, 6.43165, 7.39406
